,f1,cv
D-KNN,0.807,0.74
D-tKNN,0.942,0.901
D-NSC,0.94,0.849
D-tNSC,0.922,0.867
LSVM,0.997,0.975
tLSVM,0.988,0.977
LR,0.997,0.978
tLR,0.828,0.75
