,f1,cv
KNN,0.612,0.553
tKNN,0.85,0.796
NSC,0.665,0.649
tNSC,0.842,0.803
MNB,0.875,0.815
tMNB,0.875,0.819
LSVM,0.923,0.851
tLSVM,0.923,0.855
LR,0.918,0.844
tLR,0.945,0.862
