,f1,cv
D-KNN,0.8,0.742
D-tKNN,0.855,0.842
D-NSC,0.857,0.865
D-tNSC,0.852,0.868
LSVM,0.915,0.913
tLSVM,0.925,0.928
LR,0.925,0.924
tLR,0.905,0.841
