,f1,cv
D-KNN,0.328,0.283
D-tKNN,0.34,0.346
NSC,0.285,0.281
D-tNSC,0.265,0.286
MNB,0.075,0.09
tMNB,0.382,0.38
LSVM,0.388,0.358
tLSVM,0.475,0.43
LR,0.132,0.104
tLR,0.41,0.324
