,f1,cv
D-KNN,0.33,0.303
D-tKNN,0.308,0.345
NSC,0.323,0.295
D-tNSC,0.313,0.296
MNB,0.075,0.09
tMNB,0.408,0.435
LSVM,0.455,0.439
tLSVM,0.532,0.488
LR,0.135,0.107
tLR,0.488,0.39
