,f1,cv
D-KNN,0.29,0.233
D-tKNN,0.37,0.323
NSC,0.222,0.244
D-tNSC,0.205,0.244
MNB,0.075,0.09
tMNB,0.485,0.442
LSVM,0.552,0.476
tLSVM,0.698,0.579
LR,0.145,0.111
tLR,0.56,0.448
