,f1,cv
KNN,0.481,0.305
tKNN,0.833,0.72
NSC,0.432,0.387
tNSC,0.731,0.621
MNB,0.965,0.911
tMNB,0.966,0.915
LSVM,0.968,0.892
tLSVM,0.969,0.895
LR,0.965,0.885
tLR,0.938,0.834
