,f1,cv
D-KNN,0.677,0.484
D-tKNN,0.815,0.727
D-NSC,0.738,0.643
D-tNSC,0.738,0.643
LSVM,0.989,0.956
tLSVM,0.989,0.963
LR,0.992,0.966
tLR,0.972,0.894
