,f1,cv
D-KNN,0.31,0.234
D-tKNN,0.389,0.346
NSC,0.295,0.285
tNSC,0.289,0.286
MNB,0.079,0.084
tMNB,0.372,0.352
LSVM,0.126,0.076
tLSVM,0.338,0.243
LR,0.153,0.111
tLR,0.389,0.23
