,f1,cv
KNN,0.231,0.26
tKNN,0.308,0.462
RN,0.077,0.077
tRN,0.077,0.077
NSC,0.346,0.26
tNSC,0.346,0.308
MNB,0.615,0.635
tMNB,0.731,0.654
LSVM,0.577,0.5
tLSVM,0.538,0.51
LR,0.538,0.51
tLR,0.577,0.615
RF,0.385,0.538
tRF,0.692,0.596
