,f1,cv
D-KNN,0.346,0.348
D-tKNN,0.358,0.401
NSC,0.327,0.337
tNSC,0.327,0.337
MNB,0.408,0.405
tMNB,0.419,0.429
LSVM,0.454,0.463
tLSVM,0.485,0.495
LR,0.412,0.409
tLR,0.473,0.485
