,f1,cv
KNN,0.281,0.25
tKNN,0.419,0.445
NSC,0.254,0.245
tNSC,0.3,0.288
MNB,0.65,0.672
tMNB,0.654,0.688
LSVM,0.558,0.525
tLSVM,0.55,0.558
LR,0.554,0.542
tLR,0.5,0.545
