,f1,cv
KNN,0.625,0.532
tKNN,0.865,0.805
NSC,0.655,0.64
tNSC,0.822,0.809
MNB,0.85,0.815
tMNB,0.852,0.823
LSVM,0.92,0.842
tLSVM,0.922,0.847
LR,0.92,0.824
tLR,0.935,0.862
