,f1,cv
KNN,0.592,0.566
tKNN,0.822,0.846
NSC,0.682,0.653
tNSC,0.84,0.848
MNB,0.875,0.863
tMNB,0.878,0.868
LSVM,0.905,0.869
tLSVM,0.9,0.87
LR,0.898,0.857
tLR,0.91,0.867
