,f1,cv
KNN,0.61,0.537
tKNN,0.808,0.795
NSC,0.688,0.637
tNSC,0.802,0.79
MNB,0.842,0.797
tMNB,0.842,0.808
LSVM,0.872,0.853
tLSVM,0.882,0.854
LR,0.88,0.845
tLR,0.912,0.865
