,f1,cv
KNN,0.86,0.853
tKNN,0.977,0.971
NSC,0.769,0.745
tNSC,0.917,0.901
MNB,0.946,0.934
tMNB,0.947,0.936
LSVM,0.999,0.996
tLSVM,0.998,0.997
LR,0.998,0.995
tLR,0.999,0.997
