,f1,cv
KNN,0.881,0.875
tKNN,0.996,0.995
NSC,0.799,0.795
tNSC,0.972,0.968
MNB,0.997,0.995
tMNB,0.997,0.996
LSVM,0.999,0.999
tLSVM,0.999,0.999
LR,0.998,0.998
tLR,0.995,0.996
