,f1,cv
KNN,0.883,0.878
tKNN,0.993,0.992
NSC,0.777,0.787
tNSC,0.963,0.961
MNB,0.994,0.99
tMNB,0.996,0.991
LSVM,0.999,0.998
tLSVM,0.999,0.998
LR,0.999,0.996
tLR,0.998,0.997
