,f1,cv
D-KNN,0.342,0.322
D-tKNN,0.458,0.403
D-NSC,0.385,0.33
D-tNSC,0.373,0.332
LSVM,0.419,0.379
tLSVM,0.585,0.512
LR,0.504,0.438
tLR,0.446,0.406
