,f1,cv
D-KNN,0.196,0.184
D-tKNN,0.246,0.238
D-NSC,0.496,0.497
D-tNSC,0.496,0.497
LSVM,0.635,0.698
tLSVM,0.7,0.725
LR,0.673,0.72
tLR,0.512,0.489
