,f1,cv
D-KNN,0.231,0.233
D-tKNN,0.235,0.287
D-NSC,0.485,0.495
D-tNSC,0.485,0.495
LSVM,0.662,0.701
tLSVM,0.712,0.723
LR,0.692,0.714
tLR,0.462,0.422
