,f1,cv
D-KNN,0.427,0.39
D-tKNN,0.419,0.435
NSC,0.388,0.312
tNSC,0.369,0.318
MNB,0.55,0.504
tMNB,0.558,0.519
LSVM,0.6,0.581
tLSVM,0.658,0.611
LR,0.562,0.51
tLR,0.608,0.571
