,f1,cv
KNN,0.415,0.388
tKNN,0.585,0.528
NSC,0.55,0.505
tNSC,0.573,0.541
MNB,0.565,0.493
tMNB,0.646,0.573
LSVM,0.592,0.543
tLSVM,0.635,0.578
LR,0.542,0.501
tLR,0.488,0.451
