,f1,cv
KNN,0.246,0.228
tKNN,0.412,0.401
NSC,0.227,0.245
tNSC,0.265,0.268
MNB,0.662,0.612
tMNB,0.638,0.629
LSVM,0.5,0.497
tLSVM,0.558,0.519
LR,0.515,0.495
tLR,0.527,0.502
