,f1,cv
D-KNN,0.331,0.388
D-tKNN,0.388,0.444
NSC,0.296,0.342
tNSC,0.296,0.345
MNB,0.442,0.493
tMNB,0.454,0.506
LSVM,0.546,0.58
tLSVM,0.596,0.611
LR,0.481,0.501
tLR,0.55,0.575
