,f1,cv
KNN,0.3,0.225
tKNN,0.385,0.391
NSC,0.246,0.233
tNSC,0.265,0.239
MNB,0.654,0.563
tMNB,0.631,0.576
LSVM,0.523,0.461
tLSVM,0.55,0.5
LR,0.538,0.481
tLR,0.542,0.509
