,f1,cv
KNN,0.427,0.384
tKNN,0.546,0.562
NSC,0.531,0.522
tNSC,0.623,0.568
MNB,0.523,0.519
tMNB,0.612,0.612
LSVM,0.585,0.566
tLSVM,0.627,0.605
LR,0.512,0.524
tLR,0.488,0.478
