,f1,cv
KNN,0.365,0.331
tKNN,0.592,0.589
NSC,0.592,0.525
tNSC,0.612,0.563
MNB,0.485,0.425
tMNB,0.692,0.639
LSVM,0.646,0.596
tLSVM,0.665,0.626
LR,0.577,0.548
tLR,0.488,0.419
