,f1,cv
D-KNN,0.335,0.337
D-tKNN,0.369,0.393
NSC,0.365,0.328
tNSC,0.342,0.336
MNB,0.423,0.412
tMNB,0.412,0.429
LSVM,0.496,0.457
tLSVM,0.515,0.493
LR,0.419,0.405
tLR,0.512,0.482
