,f1,cv
KNN,0.227,0.262
tKNN,0.404,0.441
NSC,0.246,0.243
tNSC,0.292,0.288
MNB,0.654,0.666
tMNB,0.65,0.677
LSVM,0.585,0.532
tLSVM,0.6,0.562
LR,0.569,0.542
tLR,0.542,0.537
