,f1,cv
D-KNN,0.362,0.336
D-tKNN,0.427,0.432
NSC,0.281,0.319
tNSC,0.269,0.319
MNB,0.531,0.538
tMNB,0.508,0.555
LSVM,0.596,0.611
tLSVM,0.596,0.644
LR,0.546,0.529
tLR,0.581,0.594
