,f1,cv
D-KNN,0.362,0.329
D-tKNN,0.385,0.429
D-NSC,0.381,0.33
D-tNSC,0.373,0.331
LSVM,0.362,0.397
tLSVM,0.577,0.531
LR,0.458,0.484
tLR,0.465,0.43
