,f1,cv
KNN,0.61,0.533
tKNN,0.828,0.78
NSC,0.66,0.616
tNSC,0.803,0.773
MNB,0.075,0.09
tMNB,0.82,0.792
LSVM,0.645,0.574
tLSVM,0.862,0.797
LR,0.085,0.093
tLR,0.617,0.449
