,f1,cv
KNN,0.647,0.484
tKNN,0.969,0.914
NSC,0.75,0.678
tNSC,0.972,0.904
MNB,0.068,0.075
tMNB,0.939,0.872
LSVM,0.765,0.603
tLSVM,0.936,0.824
LR,0.145,0.125
tLR,0.595,0.358
