,f1,cv
KNN,0.683,0.515
tKNN,0.941,0.889
NSC,0.744,0.684
tNSC,0.922,0.88
MNB,0.064,0.083
tMNB,0.935,0.896
LSVM,0.677,0.568
tLSVM,0.935,0.854
LR,0.124,0.119
tLR,0.584,0.361
