,f1,cv
D-KNN,0.238,0.238
D-tKNN,0.235,0.29
D-NSC,0.504,0.476
D-tNSC,0.504,0.476
LSVM,0.654,0.701
tLSVM,0.692,0.73
LR,0.677,0.716
tLR,0.458,0.445
