,f1,cv
D-KNN,0.4,0.365
D-tKNN,0.408,0.416
NSC,0.292,0.292
tNSC,0.285,0.294
MNB,0.438,0.436
tMNB,0.438,0.456
LSVM,0.55,0.517
tLSVM,0.569,0.562
LR,0.465,0.442
tLR,0.581,0.525
