,f1,cv
KNN,0.335,0.289
tKNN,0.585,0.586
NSC,0.615,0.56
tNSC,0.573,0.575
MNB,0.427,0.378
tMNB,0.662,0.653
LSVM,0.654,0.613
tLSVM,0.681,0.638
LR,0.608,0.56
tLR,0.469,0.438
