,f1,cv
KNN,0.423,0.385
tKNN,0.527,0.551
NSC,0.519,0.525
tNSC,0.573,0.549
MNB,0.531,0.52
tMNB,0.577,0.595
LSVM,0.55,0.552
tLSVM,0.585,0.606
LR,0.527,0.505
tLR,0.419,0.473
