,f1,cv
D-KNN,0.28,0.228
D-tKNN,0.361,0.33
NSC,0.267,0.28
tNSC,0.267,0.28
MNB,0.074,0.087
tMNB,0.363,0.342
LSVM,0.138,0.097
tLSVM,0.321,0.251
LR,0.142,0.112
tLR,0.373,0.23
