,f1,cv
KNN,0.277,0.25
tKNN,0.377,0.418
NSC,0.262,0.238
tNSC,0.319,0.263
MNB,0.685,0.629
tMNB,0.688,0.638
LSVM,0.508,0.507
tLSVM,0.581,0.554
LR,0.535,0.53
tLR,0.565,0.542
