,f1,cv
D-KNN,0.281,0.273
D-tKNN,0.308,0.351
D-NSC,0.454,0.468
D-tNSC,0.454,0.468
LSVM,0.669,0.677
tLSVM,0.715,0.719
LR,0.692,0.695
tLR,0.454,0.425
