,f1,cv
KNN,0.288,0.239
tKNN,0.492,0.454
NSC,0.25,0.249
tNSC,0.281,0.307
MNB,0.673,0.663
tMNB,0.658,0.69
LSVM,0.608,0.566
tLSVM,0.612,0.572
LR,0.612,0.561
tLR,0.562,0.554
