,f1,cv
D-KNN,0.354,0.312
D-tKNN,0.392,0.44
D-NSC,0.381,0.389
D-tNSC,0.369,0.39
LSVM,0.488,0.478
tLSVM,0.608,0.615
LR,0.535,0.549
tLR,0.435,0.477
