,f1,cv
D-KNN,0.338,0.336
D-tKNN,0.365,0.438
NSC,0.269,0.321
tNSC,0.269,0.321
MNB,0.573,0.529
tMNB,0.585,0.552
LSVM,0.654,0.602
tLSVM,0.665,0.625
LR,0.565,0.518
tLR,0.631,0.597
