,clf,durations
0,KNN,0.025516271591186523
1,tKNN,184.37115542888642
2,NSC,0.08729896545410157
3,tNSC,0.36373984813690186
4,MNB,0.020179009437561034
5,tMNB,0.4122977018356323
6,LSVM,0.1455967903137207
7,tLSVM,8.088490557670593
8,LR,0.06510021686553955
9,tLR,12.677117896080016
