,f1,cv
KNN,0.265,0.231
tKNN,0.385,0.379
NSC,0.215,0.233
tNSC,0.235,0.257
MNB,0.569,0.579
tMNB,0.554,0.591
LSVM,0.492,0.462
tLSVM,0.535,0.513
LR,0.512,0.489
tLR,0.538,0.516
