,f1,cv
KNN,0.235,0.254
tKNN,0.465,0.411
NSC,0.269,0.24
tNSC,0.273,0.265
MNB,0.646,0.653
tMNB,0.654,0.657
LSVM,0.569,0.5
tLSVM,0.581,0.533
LR,0.573,0.52
tLR,0.542,0.554
