,f1,cv
KNN,0.365,0.343
tKNN,0.596,0.597
NSC,0.562,0.547
tNSC,0.612,0.576
MNB,0.454,0.44
tMNB,0.669,0.644
LSVM,0.623,0.593
tLSVM,0.642,0.625
LR,0.558,0.555
tLR,0.45,0.435
