,f1,cv
D-KNN,0.358,0.355
D-tKNN,0.396,0.428
NSC,0.331,0.315
tNSC,0.315,0.315
MNB,0.469,0.497
tMNB,0.473,0.505
LSVM,0.55,0.572
tLSVM,0.581,0.605
LR,0.485,0.499
tLR,0.573,0.571
