,f1,cv
KNN,0.281,0.277
tKNN,0.569,0.584
NSC,0.6,0.596
tNSC,0.592,0.597
MNB,0.35,0.342
tMNB,0.662,0.681
LSVM,0.619,0.643
tLSVM,0.635,0.671
LR,0.577,0.597
tLR,0.458,0.451
