,f1,cv
D-KNN,0.392,0.413
D-tKNN,0.404,0.47
NSC,0.312,0.327
tNSC,0.315,0.328
MNB,0.527,0.516
tMNB,0.538,0.536
LSVM,0.6,0.593
tLSVM,0.612,0.628
LR,0.562,0.521
tLR,0.577,0.594
