,f1,cv
D-KNN,0.381,0.348
D-tKNN,0.346,0.4
NSC,0.335,0.333
tNSC,0.308,0.338
MNB,0.396,0.421
tMNB,0.4,0.438
LSVM,0.477,0.462
tLSVM,0.485,0.482
LR,0.381,0.416
tLR,0.481,0.497
