,f1,cv
KNN,0.269,0.236
tKNN,0.404,0.429
NSC,0.269,0.23
tNSC,0.292,0.278
MNB,0.677,0.651
tMNB,0.658,0.661
LSVM,0.546,0.515
tLSVM,0.527,0.544
LR,0.538,0.523
tLR,0.546,0.552
