,f1,cv
D-KNN,0.254,0.243
D-tKNN,0.288,0.285
D-NSC,0.481,0.481
D-tNSC,0.481,0.481
LSVM,0.696,0.703
tLSVM,0.715,0.722
LR,0.723,0.709
tLR,0.45,0.452
