,f1,cv
D-KNN,0.35,0.323
D-tKNN,0.427,0.427
D-NSC,0.331,0.352
D-tNSC,0.331,0.362
LSVM,0.404,0.41
tLSVM,0.573,0.533
LR,0.485,0.477
tLR,0.462,0.427
