,f1,cv
KNN,0.508,0.417
tKNN,0.888,0.872
NSC,0.73,0.651
tNSC,0.857,0.746
MNB,0.075,0.09
tMNB,0.905,0.878
LSVM,0.792,0.703
tLSVM,0.87,0.822
LR,0.115,0.097
tLR,0.483,0.39
