,f1,cv
KNN,0.588,0.479
tKNN,0.893,0.867
NSC,0.76,0.66
tNSC,0.895,0.806
MNB,0.075,0.09
tMNB,0.915,0.869
LSVM,0.798,0.685
tLSVM,0.893,0.838
LR,0.105,0.095
tLR,0.505,0.405
