,f1,cv
KNN,0.269,0.24
tKNN,0.308,0.462
RN,0.077,0.077
tRN,0.077,0.077
NSC,0.308,0.221
tNSC,0.346,0.308
MNB,0.654,0.654
tMNB,0.654,0.663
LSVM,0.615,0.548
tLSVM,0.538,0.548
LR,0.577,0.529
tLR,0.462,0.471
SVM,0.115,0.231
tSVM,0.423,0.385
RF,0.577,0.471
tRF,0.538,0.625
