,f1,cv
D-KNN,0.325,0.288
D-tKNN,0.35,0.335
NSC,0.278,0.289
tNSC,0.278,0.289
MNB,0.075,0.09
tMNB,0.355,0.381
LSVM,0.402,0.367
tLSVM,0.462,0.421
LR,0.142,0.104
tLR,0.415,0.324
