,f1,cv
D-KNN,0.262,0.243
D-tKNN,0.313,0.346
NSC,0.255,0.233
tNSC,0.248,0.235
MNB,0.075,0.09
tMNB,0.483,0.442
LSVM,0.545,0.488
tLSVM,0.675,0.564
LR,0.15,0.117
tLR,0.565,0.449
