,f1,cv
D-KNN,0.825,0.775
D-tKNN,0.87,0.865
D-NSC,0.903,0.879
D-tNSC,0.878,0.883
LSVM,0.933,0.936
tLSVM,0.942,0.942
LR,0.943,0.944
tLR,0.875,0.821
