,f1,cv
KNN,0.633,0.549
tKNN,0.833,0.815
NSC,0.695,0.639
tNSC,0.818,0.811
MNB,0.85,0.813
tMNB,0.852,0.822
LSVM,0.912,0.855
tLSVM,0.903,0.858
LR,0.905,0.846
tLR,0.908,0.876
