,f1,cv
KNN,0.65,0.535
tKNN,0.86,0.84
NSC,0.71,0.656
tNSC,0.86,0.856
MNB,0.075,0.09
tMNB,0.88,0.858
LSVM,0.72,0.61
tLSVM,0.865,0.822
LR,0.095,0.095
tLR,0.615,0.441
